candidate,percentage,votes,state_name,district,party,state_abbreviation,year,id,GEOID,total_votes,vote_share
Thomas Witkop,38.2,171312,Florida,21,Democrat,FL,2024,FL21,1221,448766,38.174014965483124
Elizabeth Felton,0.0,19,Florida,21,Other,FL,2024,FL21,1221,448766,0.004233832331326348
Lois Frankel,55.0,201608,Florida,22,Democrat,FL,2024,FL22,1222,366856,54.95562291471313
Dan Franzese,45.0,165248,Florida,22,Republican,FL,2024,FL22,1222,366856,45.04437708528687
Jared Evan Moskowitz,52.4,196311,Florida,23,Democrat,FL,2024,FL23,1223,374317,52.44512004530919
Joe Kaufman,47.6,178006,Florida,23,Republican,FL,2024,FL23,1223,374317,47.55487995469081
Frederica S. Wilson,68.2,194874,Florida,24,Democrat,FL,2024,FL24,1224,285588,68.23606033866969
Jesus Navarro,31.8,90692,Florida,24,Republican,FL,2024,FL24,1224,285588,31.75623625642534
Lavern Spicer,0.0,22,Florida,24,Other,FL,2024,FL24,1224,285588,0.007703404904967996
Debbie Wasserman Schultz,54.5,186942,Florida,25,Democrat,FL,2024,FL25,1225,343191,54.471708174165414
Christopher Eddy,45.5,156208,Florida,25,Republican,FL,2024,FL25,1225,343191,45.516345125600616
Ed Goldfarb,0.0,41,Florida,25,Other,FL,2024,FL25,1225,343191,0.011946700233980494
Mario Diaz-Balart,70.9,217199,Florida,26,Republican,FL,2024,FL26,1226,306271,70.9172595511818
Joey David Atkins,29.1,89072,Florida,26,Democrat,FL,2024,FL26,1226,306271,29.082740448818207
Maria Elvira Salazar,60.4,199159,Florida,27,Republican,FL,2024,FL27,1227,329867,60.3755452955282
Lucia Baez-Geller,39.6,130708,Florida,27,Democrat,FL,2024,FL27,1227,329867,39.6244547044718
